ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Birth date,Hire date,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Drinker,Smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay,,,,
4,0,0,3,1,118,14,13,40,3/30/1978,3/25/1998,"271,219",95,0,1,1,1,0,8,98,170,34,0,2,5,2,2,,,,
8,0,0,4,2,231,35,14,39,3/30/1979,3/25/1999,"271,219",95,0,1,2,1,0,2,100,170,35,0,3,2,2,5,,,,
35,0,0,6,3,179,45,14,53,4/2/1965,3/28/1985,"271,219",95,0,1,1,0,0,1,77,175,25,0,2,4,3,1,,,,
27,23,1,5,2,184,42,7,27,3/27/1991,3/22/2011,"308,593",95,0,1,0,0,0,0,58,167,21,2,1,4,3,2,,,,
27,23,1,5,2,184,42,7,27,3/27/1991,3/22/2011,"308,593",95,0,1,0,0,0,0,58,167,21,2,2,5,3,1,,,,
28,23,1,4,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,1,2,4,3,1,,,,
28,27,1,4,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,2,1,3,2,2,,,,
28,28,1,5,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,2,1,4,2,1,,,,
28,27,1,6,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,1,1,5,2,2,,,,
28,27,1,3,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,2,1,4,2,1,,,,
28,23,1,3,2,225,26,9,28,3/27/1990,3/22/2010,"308,593",95,0,1,1,0,0,2,69,169,24,1,2,4,2,2,,,,
28,23,1,4,2,225,26,9,28,3/27/1990,3/22/2010,"330,061",100,0,1,1,0,0,2,69,169,24,5,1,4,2,2,,,,
32,10,1,5,2,289,48,29,49,4/1/1969,3/27/1989,"313,532",96,0,1,0,0,0,2,108,172,36,8,2,4,3,2,,,,
34,19,1,2,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,1,1,5,3,2,,,,
34,27,1,3,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,1,1,3,2,1,,,,
34,27,1,2,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,1,4,3,2,,,,
34,27,1,3,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,2,5,3,1,,,,
34,27,1,4,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,1,5,3,1,,,,
34,27,1,5,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,2,3,3,2,,,,
34,27,1,6,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,1,5,2,1,,,,
34,27,1,2,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,2,4,3,2,,,,
34,27,1,3,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,2,3,2,1,,,,
34,27,1,4,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,2,4,2,2,,,,
34,27,1,5,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,2,1,4,2,2,,,,
34,27,1,2,2,118,10,10,37,3/29/1981,3/24/2001,"308,593",95,0,1,0,0,0,0,83,172,28,0,2,4,2,1,,,,
