ID,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay
4,0,2,5,2,2
8,0,3,2,2,5
35,0,2,4,3,1
27,2,1,4,3,2
27,2,2,5,3,1
28,1,2,4,3,1
28,2,1,3,2,2
28,2,1,4,2,1
28,1,1,5,2,2
28,2,1,4,2,1
28,1,2,4,2,2
28,5,1,4,2,2
32,8,2,4,3,2
34,1,1,5,3,2
34,1,1,3,2,1
34,2,1,4,3,2
34,2,2,5,3,1
34,2,1,5,3,1
34,2,2,3,3,2
34,2,1,5,2,1
34,2,2,4,3,2
34,2,2,3,2,1
34,2,2,4,2,2
34,2,1,4,2,2
34,0,2,4,2,1
34,32,1,4,2,1
36,4,1,5,2,1
3,2,1,5,3,1
6,8,3,3,3,4
6,8,3,2,3,3
6,8,3,4,2,5
11,8,4,4,3,3
11,3,4,5,3,5
12,2,2,5,3,2
12,3,1,4,3,1
14,2,2,3,2,2
14,5,2,4,5,4
15,2,2,5,2,2
17,2,3,5,3,3
18,8,1,4,2,1
18,1,2,4,3,1
20,2,4,2,3,4
20,3,4,2,4,4
22,1,2,4,2,1
22,2,2,3,2,1
22,2,2,4,2,1
22,2,1,3,3,2
24,8,2,3,2,2
24,8,2,3,3,2
24,2,2,5,2,1
24,24,2,3,3,1
25,3,1,3,3,2
25,2,1,4,2,2
27,1,1,4,2,2
27,8,2,4,2,1
28,2,2,3,2,2
28,2,1,3,3,2
28,3,2,3,2,2
28,1,2,4,3,2
28,1,2,5,2,1
28,3,1,5,2,2
28,3,2,5,2,2
28,8,2,5,3,2
28,3,1,4,2,1
28,2,1,4,3,2
28,2,1,4,3,2
29,2,4,5,2,4
30,16,2,3,3,1
31,8,1,3,3,1
31,8,2,3,2,2
33,8,3,3,5,2
33,2,4,4,4,4
34,2,2,4,2,2
13,8,4,1,3,4
14,8,4,1,5,3
14,24,1,1,3,3
16,8,3,2,1,4
17,8,4,2,3,5
17,8,4,5,2,5
20,16,4,2,3,5
20,4,5,1,4,4
20,4,4,1,4,4
20,8,4,1,4,5
22,1,2,5,3,1
22,3,1,3,2,1
22,2,2,5,3,2
22,2,2,4,3,2
22,2,1,3,3,2
23,8,1,1,5,4
24,16,1,4,2,2
24,2,1,3,2,2
24,0,2,4,2,2
24,2,2,5,3,2
25,3,1,4,2,2
28,1,1,3,2,2
28,2,1,5,2,1
28,8,1,4,3,2
28,8,1,5,3,2
28,16,1,5,2,1
28,2,2,4,2,1
28,1,2,4,2,2
28,2,2,4,3,2
28,2,2,4,3,2
28,8,1,5,3,2
33,3,4,4,4,4
33,2,3,3,4,3
33,3,3,2,2,3
33,2,1,2,1,4
33,3,3,5,2,1
1,3,2,3,2,1
1,8,1,4,3,1
2,0,1,5,3,2
3,24,1,5,3,1
3,4,2,3,2,2
3,8,2,5,2,1
3,4,2,3,3,1
6,8,1,4,4,4
10,8,2,3,3,2
