ID,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay,Work Happiness,Likes Manager,Likes Colleagues,Retention Outlook
4,0,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
8,0,3,2,2,5,Meh,Dislike,Dislike,Very Likely
35,0,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
27,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
27,2,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
28,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
28,2,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
28,2,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
28,1,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
28,2,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
28,1,2,4,2,2,Unhappy,Like,Dislike,Unlikely
28,5,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
32,8,2,4,3,2,Unhappy,Like,Meh,Unlikely
34,1,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
34,1,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
34,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
34,2,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
34,2,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
34,2,2,3,3,2,Unhappy,Meh,Meh,Unlikely
34,2,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
34,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
34,2,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
34,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
34,2,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
34,0,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
34,32,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
36,4,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
3,2,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
6,8,3,3,3,4,Meh,Meh,Meh,Likely
6,8,3,2,3,3,Meh,Dislike,Meh,Meh
6,8,3,4,2,5,Meh,Like,Dislike,Very Likely
11,8,4,4,3,3,Happy,Like,Meh,Meh
11,3,4,5,3,5,Happy,Like Very Much,Meh,Very Likely
12,2,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
12,3,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
14,2,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
14,5,2,4,5,4,Unhappy,Like,Like Very Much,Likely
15,2,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
17,2,3,5,3,3,Meh,Like Very Much,Meh,Meh
18,8,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
18,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
20,2,4,2,3,4,Happy,Dislike,Meh,Likely
20,3,4,2,4,4,Happy,Dislike,Like,Likely
22,1,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
22,2,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
22,2,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
22,2,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
24,8,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
24,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
24,2,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
24,24,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
25,3,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
25,2,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
27,1,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
27,8,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
28,2,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
28,2,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
28,3,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
28,1,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,1,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
28,3,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
28,3,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
28,8,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
28,3,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
28,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
28,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
29,2,4,5,2,4,Happy,Like Very Much,Dislike,Likely
30,16,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
31,8,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
31,8,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
33,8,3,3,5,2,Meh,Meh,Like Very Much,Unlikely
33,2,4,4,4,4,Happy,Like,Like,Likely
34,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
13,8,4,1,3,4,Happy,Dislike Very Much,Meh,Likely
14,8,4,1,5,3,Happy,Dislike Very Much,Like Very Much,Meh
14,24,1,1,3,3,Very Unhappy,Dislike Very Much,Meh,Meh
16,8,3,2,1,4,Meh,Dislike,Dislike Very Much,Likely
17,8,4,2,3,5,Happy,Dislike,Meh,Very Likely
17,8,4,5,2,5,Happy,Like Very Much,Dislike,Very Likely
20,16,4,2,3,5,Happy,Dislike,Meh,Very Likely
20,4,5,1,4,4,Very Happy,Dislike Very Much,Like,Likely
20,4,4,1,4,4,Happy,Dislike Very Much,Like,Likely
20,8,4,1,4,5,Happy,Dislike Very Much,Like,Very Likely
22,1,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
22,3,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
22,2,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
22,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
22,2,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
23,8,1,1,5,4,Very Unhappy,Dislike Very Much,Like Very Much,Likely
24,16,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
24,2,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
24,0,2,4,2,2,Unhappy,Like,Dislike,Unlikely
24,2,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
25,3,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
28,1,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
28,2,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
28,8,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
28,8,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
28,16,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
28,2,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
28,1,2,4,2,2,Unhappy,Like,Dislike,Unlikely
28,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,8,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
33,3,4,4,4,4,Happy,Like,Like,Likely
33,2,3,3,4,3,Meh,Meh,Like,Meh
33,3,3,2,2,3,Meh,Dislike,Dislike,Meh
33,2,1,2,1,4,Very Unhappy,Dislike,Dislike Very Much,Likely
33,3,3,5,2,1,Meh,Like Very Much,Dislike,Very Unlikely
1,3,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
1,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
2,0,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
3,24,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
3,4,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
3,8,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
3,4,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
6,8,1,4,4,4,Very Unhappy,Like,Like,Likely
10,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
10,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
11,8,2,2,5,2,Unhappy,Dislike,Like Very Much,Unlikely
11,16,4,2,5,2,Happy,Dislike,Like Very Much,Unlikely
13,4,5,1,4,5,Very Happy,Dislike Very Much,Like,Very Likely
13,24,4,2,3,4,Happy,Dislike,Meh,Likely
14,1,3,2,4,4,Meh,Dislike,Like,Likely
14,1,4,5,4,1,Happy,Like Very Much,Like,Very Unlikely
14,24,4,4,4,3,Happy,Like,Like,Meh
14,4,4,2,4,3,Happy,Dislike,Like,Meh
15,1,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
15,3,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
15,1,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
17,2,2,2,3,2,Unhappy,Dislike,Meh,Unlikely
18,4,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
18,8,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
20,4,5,2,3,4,Very Happy,Dislike,Meh,Likely
20,56,4,2,4,4,Happy,Dislike,Like,Likely
20,3,5,1,4,5,Very Happy,Dislike Very Much,Like,Very Likely
20,4,4,1,3,5,Happy,Dislike Very Much,Meh,Very Likely
22,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
22,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
22,2,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
22,2,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
23,8,3,4,4,5,Meh,Like,Like,Very Likely
24,24,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
24,8,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
25,3,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
26,8,1,4,2,3,Very Unhappy,Like,Dislike,Meh
28,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
28,2,2,3,3,2,Unhappy,Meh,Meh,Unlikely
28,8,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
28,8,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
28,8,2,4,3,2,Unhappy,Like,Meh,Unlikely
33,8,2,2,3,5,Unhappy,Dislike,Meh,Very Likely
33,4,2,2,2,5,Unhappy,Dislike,Dislike,Very Likely
33,8,4,5,3,4,Happy,Like Very Much,Meh,Likely
17,8,3,3,4,2,Meh,Meh,Like,Unlikely
17,8,1,2,5,5,Very Unhappy,Dislike,Like Very Much,Very Likely
18,8,2,4,2,2,Unhappy,Like,Dislike,Unlikely
18,8,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
20,3,5,1,3,4,Very Happy,Dislike Very Much,Meh,Likely
22,3,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
22,2,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
22,3,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
22,1,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
22,2,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
22,2,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
22,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
23,0,2,5,3,3,Unhappy,Like Very Much,Meh,Meh
25,2,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
25,8,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
25,2,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
26,64,1,4,1,4,Very Unhappy,Like,Dislike Very Much,Likely
27,4,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
28,8,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,3,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
28,1,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
29,3,3,4,4,4,Meh,Like,Like,Likely
